"order_id","customer_id","employee_id","order_date","required_date","shipped_date","ship_via","freight","ship_name","ship_address","ship_city","ship_region","ship_postal_code","ship_country","_sdc_batched_at","_sdc_extracted_at","_sdc_deleted_at","_sdc_received_at","_sdc_sequence","_sdc_table_version","_sdc_source_file","_sdc_source_lineno","_sdc_sync_started_at","order_id-2","product_id","unit_price","quantity","discount","_sdc_batched_at-2","_sdc_received_at-2","_sdc_extracted_at-2","_sdc_deleted_at-2","_sdc_sequence-2","_sdc_table_version-2","_sdc_source_file-2","_sdc_source_lineno-2","_sdc_sync_started_at-2"
"10995","PERIC","1","1998-04-02","1998-04-30","1998-04-06","3","46.0","Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.",NULL,"05033","Mexico","2025-01-29 17:27:42.155908","2025-01-29 16:29:14.05819",NULL,"2025-01-29 17:27:42.464642","1738182462465",NULL,"public-orders-20250129T162911.singer.gz","749","1738182460335","10995","60","34","4","0","2025-01-29 17:27:44.028144","2025-01-29 17:27:44.370822","2025-01-29 17:23:06.51988",NULL,"1738182464371",NULL,"order_details-20250129T172304.singer.gz","1930","1738182460335"
"10248","VINET","5","1996-07-04","1996-08-01","1996-07-16","3","32.38","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims",NULL,"51100","France","2025-01-29 17:27:42.155908","2025-01-29 16:29:12.463237",NULL,"2025-01-29 17:27:42.155929","1738182462156",NULL,"public-orders-20250129T162911.singer.gz","2","1738182460335","10248","11","14","12","0","2025-01-29 17:27:44.028144","2025-01-29 17:27:44.028179","2025-01-29 17:23:05.075789",NULL,"1738182464028",NULL,"order_details-20250129T172304.singer.gz","2","1738182460335"
"10248","VINET","5","1996-07-04","1996-08-01","1996-07-16","3","32.38","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims",NULL,"51100","France","2025-01-29 17:27:42.155908","2025-01-29 16:29:12.463237",NULL,"2025-01-29 17:27:42.155929","1738182462156",NULL,"public-orders-20250129T162911.singer.gz","2","1738182460335","10248","42","9.8","10","0","2025-01-29 17:27:44.028144","2025-01-29 17:27:44.028515","2025-01-29 17:23:05.075921",NULL,"1738182464029",NULL,"order_details-20250129T172304.singer.gz","3","1738182460335"
"10248","VINET","5","1996-07-04","1996-08-01","1996-07-16","3","32.38","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims",NULL,"51100","France","2025-01-29 17:27:42.155908","2025-01-29 16:29:12.463237",NULL,"2025-01-29 17:27:42.155929","1738182462156",NULL,"public-orders-20250129T162911.singer.gz","2","1738182460335","10248","72","34.8","5","0","2025-01-29 17:27:44.028144","2025-01-29 17:27:44.028821","2025-01-29 17:23:05.076012",NULL,"1738182464029",NULL,"order_details-20250129T172304.singer.gz","4","1738182460335"
"10249","TOMSP","6","1996-07-05","1996-08-16","1996-07-10","1","11.61","Toms Spezialitäten","Luisenstr. 48","Münster",NULL,"44087","Germany","2025-01-29 17:27:42.155908","2025-01-29 16:29:12.464036",NULL,"2025-01-29 17:27:42.15656","1738182462157",NULL,"public-orders-20250129T162911.singer.gz","3","1738182460335","10249","14","18.6","9","0","2025-01-29 17:27:44.028144","2025-01-29 17:27:44.02902","2025-01-29 17:23:05.076091",NULL,"1738182464029",NULL,"order_details-20250129T172304.singer.gz","5","1738182460335"
"10249","TOMSP","6","1996-07-05","1996-08-16","1996-07-10","1","11.61","Toms Spezialitäten","Luisenstr. 48","Münster",NULL,"44087","Germany","2025-01-29 17:27:42.155908","2025-01-29 16:29:12.464036",NULL,"2025-01-29 17:27:42.15656","1738182462157",NULL,"public-orders-20250129T162911.singer.gz","3","1738182460335","10249","51","42.4","40","0","2025-01-29 17:27:44.028144","2025-01-29 17:27:44.029209","2025-01-29 17:23:05.076167",NULL,"1738182464029",NULL,"order_details-20250129T172304.singer.gz","6","1738182460335"
"10250","HANAR","4","1996-07-08","1996-08-05","1996-07-12","2","65.83","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brazil","2025-01-29 17:27:42.155908","2025-01-29 16:29:12.464244",NULL,"2025-01-29 17:27:42.157123","1738182462157",NULL,"public-orders-20250129T162911.singer.gz","4","1738182460335","10250","41","7.7","10","0","2025-01-29 17:27:44.028144","2025-01-29 17:27:44.029445","2025-01-29 17:23:05.076242",NULL,"1738182464029",NULL,"order_details-20250129T172304.singer.gz","7","1738182460335"
"10250","HANAR","4","1996-07-08","1996-08-05","1996-07-12","2","65.83","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brazil","2025-01-29 17:27:42.155908","2025-01-29 16:29:12.464244",NULL,"2025-01-29 17:27:42.157123","1738182462157",NULL,"public-orders-20250129T162911.singer.gz","4","1738182460335","10250","51","42.4","35","0.15","2025-01-29 17:27:44.028144","2025-01-29 17:27:44.029645","2025-01-29 17:23:05.076312",NULL,"1738182464030",NULL,"order_details-20250129T172304.singer.gz","8","1738182460335"
"10250","HANAR","4","1996-07-08","1996-08-05","1996-07-12","2","65.83","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brazil","2025-01-29 17:27:42.155908","2025-01-29 16:29:12.464244",NULL,"2025-01-29 17:27:42.157123","1738182462157",NULL,"public-orders-20250129T162911.singer.gz","4","1738182460335","10250","65","16.8","15","0.15","2025-01-29 17:27:44.028144","2025-01-29 17:27:44.029828","2025-01-29 17:23:05.076382",NULL,"1738182464030",NULL,"order_details-20250129T172304.singer.gz","9","1738182460335"
"10251","VICTE","3","1996-07-08","1996-08-05","1996-07-15","1","41.34","Victuailles en stock","2, rue du Commerce","Lyon",NULL,"69004","France","2025-01-29 17:27:42.155908","2025-01-29 16:29:12.464366",NULL,"2025-01-29 17:27:42.157579","1738182462158",NULL,"public-orders-20250129T162911.singer.gz","5","1738182460335","10251","22","16.8","6","0.05","2025-01-29 17:27:44.028144","2025-01-29 17:27:44.03001","2025-01-29 17:23:05.076467",NULL,"1738182464030",NULL,"order_details-20250129T172304.singer.gz","10","1738182460335"
